Age,Gender,Previous_Grade,Attendance,Study_Hours_PerWeek ,Major,Uni_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Stress_Levels,Uni_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Hours_PerDay,Nutrition,Physical_Activities,Screen_Time_PerDay,Educational_Tech_Use,Bullying,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Grade
21,F,B,93,13,Science,Public,Medium,High,No,Low,,,High,67,No,,Healthy,Medium,6,Yes,No,Auditory,Yes,Yes,Low,
19,F,A,93,16,,Public,Low,Low,Yes,Medium,High,Negative,Medium,93,No,6,Balanced,Medium,3,No,No,Auditory,No,No,,C
19,F,C,84,8,Arts,Public,Medium,,,Low,Medium,Positive,Medium,67,No,8,Balanced,Medium,4,No,Yes,Auditory,No,No,High,A
22,F,A,,19,Engineering,Public,,High,No,High,Low,Neutral,Medium,39,No,8,Balanced,Medium,5,No,Yes,,Yes,Yes,High,C
19,F,C,73,7,,Private,Low,Medium,No,High,Medium,Positive,High,94,No,8,,Low,6,Yes,No,Auditory,,Yes,Low,C
19,M,C,99,10,Law,Public,High,Medium,Yes,,,Positive,Low,97,Yes,4,Unhealthy,High,4,Yes,Yes,Visual,Yes,No,High,C
20,F,A,78,18,,Public,Low,,Yes,Low,High,Positive,High,39,Yes,9,Healthy,Medium,2,No,No,,No,No,High,B
20,M,C,76,17,Engineering,Private,Medium,High,No,Medium,Medium,Negative,Medium,,No,6,Balanced,Medium,,No,,Visual,No,No,High,A
20,M,B,79,,Medicine,Private,Low,High,Yes,Medium,High,Positive,Low,93,Yes,9,Balanced,Low,10,Yes,No,Visual,,No,High,B
21,F,,91,16,Business,,High,,No,Low,Low,Positive,High,,Yes,6,Balanced,Low,5,No,Yes,Auditory,,No,Medium,C
20,,C,91,17,Medicine,Public,Low,Low,No,Medium,Medium,Negative,Medium,58,No,7,Unhealthy,High,9,No,,Auditory,Yes,Yes,Low,
21,F,B,91,13,Science,,Low,,,High,,Negative,Low,80,Yes,9,Healthy,Medium,9,Yes,No,Kinesthetic,Yes,Yes,High,C
22,M,A,95,9,,Private,Medium,,Yes,Low,Low,Neutral,Medium,46,Yes,5,Unhealthy,,4,No,Yes,Auditory,Yes,Yes,High,B
,M,C,89,,Arts,Public,Medium,Medium,,High,,Positive,Medium,22,No,7,Unhealthy,Low,8,No,,Auditory,No,Yes,High,B
22,F,C,85,5,Business,Private,High,Low,,Low,Medium,Positive,Medium,45,No,4,,Low,10,No,No,Visual,Yes,Yes,Low,C
,F,A,78,7,Science,Public,High,,No,Low,Low,Positive,,61,Yes,8,Healthy,High,6,Yes,Yes,,No,Yes,Low,C
20,M,B,72,20,Law,Private,Medium,Low,Yes,High,,Negative,Low,89,Yes,4,Healthy,,3,Yes,Yes,Kinesthetic,,Yes,Low,C
19,F,A,95,8,Law,Public,Low,Medium,Yes,Low,Low,Neutral,High,46,No,4,Unhealthy,Low,7,,,Auditory,No,Yes,High,B
20,F,B,81,10,Business,Public,High,High,Yes,Low,High,Positive,Low,43,No,5,Balanced,Medium,7,No,,,,Yes,Low,B
,,A,,20,Science,,High,Medium,Yes,High,Low,Neutral,Medium,74,No,6,Healthy,Medium,6,Yes,No,Visual,No,No,,C
20,,C,97,18,Science,Private,Medium,Low,No,Medium,Low,Positive,Low,72,No,4,Healthy,High,5,Yes,No,Auditory,Yes,No,Medium,C
20,M,A,77,6,Engineering,Public,High,Medium,No,High,Medium,Negative,Low,44,No,6,Unhealthy,Medium,4,Yes,Yes,Kinesthetic,No,No,Low,A
20,M,A,82,12,Engineering,,,High,No,Low,High,Negative,Medium,40,No,8,Healthy,,10,Yes,No,,Yes,No,High,B
22,F,A,89,10,Science,Private,Medium,Medium,Yes,High,High,Positive,Low,91,,7,Balanced,Low,9,Yes,No,Kinesthetic,No,No,Low,B
22,M,C,85,14,Arts,Private,High,High,No,,High,Positive,Low,95,,,Balanced,Low,10,,No,Auditory,No,Yes,Low,B
22,M,B,,14,Science,Public,Low,High,,High,Medium,Negative,,82,,9,Healthy,Medium,6,No,No,Kinesthetic,No,Yes,High,B
,,A,89,10,Medicine,Public,High,Low,Yes,Low,Low,Neutral,,60,No,5,Healthy,Medium,4,,No,Visual,Yes,Yes,Low,A
22,F,C,90,8,Law,Private,High,Medium,Yes,High,High,Negative,Medium,98,No,5,Balanced,Low,9,Yes,No,Visual,No,No,Low,B
21,F,A,74,17,Medicine,,Medium,Medium,No,Medium,High,Neutral,,47,No,5,Balanced,Low,7,Yes,No,Visual,No,Yes,High,
21,F,A,,14,Arts,Public,High,High,Yes,High,Medium,Negative,Low,35,,,Unhealthy,Medium,3,Yes,Yes,Kinesthetic,Yes,No,Low,
21,,,78,19,Medicine,Public,,Medium,,Medium,High,Neutral,High,32,No,8,Healthy,High,5,No,Yes,Auditory,,Yes,Low,B
18,F,C,85,11,Medicine,Private,High,Low,No,Low,High,Positive,Low,20,Yes,8,,Medium,8,No,Yes,Kinesthetic,No,Yes,High,A
,F,B,91,18,,Private,Medium,,No,Low,,Positive,Low,,Yes,,Unhealthy,Low,5,No,No,Kinesthetic,No,Yes,Low,B
,,A,78,9,,Private,High,,No,Medium,Medium,Positive,Medium,,Yes,,Healthy,High,5,No,No,,No,No,High,A
21,F,A,80,6,Law,Private,High,High,Yes,High,Low,Positive,Medium,88,No,,Healthy,Medium,3,No,No,,Yes,Yes,High,A
,M,A,79,19,Arts,Private,High,Medium,Yes,Low,High,Negative,Medium,64,Yes,9,Unhealthy,Medium,,Yes,,Visual,No,Yes,High,
22,M,C,79,11,Business,Private,Low,Medium,No,High,,Neutral,,56,No,9,Healthy,Low,,Yes,No,Auditory,No,Yes,Medium,C
21,M,B,75,9,Business,Private,,High,No,Low,,Neutral,Low,43,Yes,,Unhealthy,Low,10,Yes,Yes,Visual,Yes,Yes,Medium,
21,M,C,,7,Arts,Public,Low,Low,No,High,Low,Neutral,High,30,,8,Balanced,High,,Yes,Yes,Kinesthetic,,,Low,B
19,M,C,74,10,Science,,,High,Yes,Low,Low,Positive,High,29,No,7,Unhealthy,Medium,10,Yes,Yes,Auditory,No,Yes,,C
22,,B,74,20,Arts,Public,Medium,Medium,Yes,High,,Negative,Low,71,No,8,,Low,8,Yes,No,Visual,No,No,Low,B
21,M,B,,,Medicine,Private,,Medium,No,Low,Low,Neutral,,67,No,9,Balanced,Medium,7,No,Yes,,No,No,Medium,B
22,M,C,74,14,Medicine,Public,Low,Low,Yes,,Low,Positive,Low,78,No,,Balanced,Low,7,No,Yes,Auditory,No,Yes,Low,B
20,M,B,87,16,Arts,,Medium,Medium,Yes,High,Medium,Negative,Low,90,Yes,5,Balanced,High,2,No,No,Kinesthetic,Yes,Yes,High,A
22,,A,97,14,Law,,Medium,High,Yes,Low,Low,Neutral,Low,50,Yes,9,Balanced,High,2,Yes,Yes,Auditory,Yes,,,B
18,M,C,79,16,,Public,,High,Yes,Low,Low,Positive,Low,,No,8,Balanced,Medium,8,Yes,Yes,Auditory,Yes,No,Medium,A
22,F,B,81,17,Science,Public,High,Medium,No,High,Medium,Negative,Low,96,Yes,6,Unhealthy,Low,,Yes,Yes,Auditory,No,No,Medium,A
19,F,C,85,18,Medicine,Private,Medium,Low,,Medium,Low,Negative,Medium,74,No,4,Balanced,High,9,,Yes,Kinesthetic,Yes,Yes,Low,A
19,F,A,79,17,Science,Private,Low,High,Yes,,High,Positive,,67,No,6,Unhealthy,Medium,3,No,Yes,Visual,,Yes,Medium,A
20,F,C,,17,Science,Public,Medium,High,No,High,Medium,Positive,Medium,78,No,9,Unhealthy,High,2,Yes,Yes,Auditory,No,No,High,A
21,M,,73,16,,Private,,High,Yes,Low,High,Negative,Low,70,Yes,6,Healthy,Low,,Yes,No,Kinesthetic,Yes,No,,A
22,M,A,76,14,Business,Public,Medium,,Yes,,Medium,Negative,Medium,100,No,9,Balanced,Medium,10,No,Yes,Kinesthetic,,No,Medium,
20,M,B,94,9,Medicine,,,Low,Yes,,Medium,Neutral,Low,67,No,9,Unhealthy,High,,No,No,Visual,Yes,No,Medium,C
19,F,,,10,,Public,High,Medium,Yes,Medium,Medium,Negative,Medium,27,No,8,Balanced,,2,No,No,Kinesthetic,Yes,,,B
21,F,C,72,7,Business,Private,High,Low,No,Low,Medium,Positive,High,48,Yes,,Healthy,Low,,Yes,No,Auditory,No,Yes,High,B
20,F,C,71,5,Business,Private,High,High,Yes,High,,Positive,Low,42,Yes,4,Unhealthy,,7,No,No,Kinesthetic,No,Yes,Medium,A
19,M,C,81,12,Law,Private,Medium,Medium,Yes,Low,Low,Negative,High,89,No,7,Balanced,High,4,,Yes,Kinesthetic,No,Yes,Low,B
,M,B,83,8,Law,Public,Low,,No,High,Medium,Neutral,High,48,Yes,,Balanced,High,,Yes,Yes,Visual,No,Yes,,C
,,B,72,5,Engineering,Private,Medium,Low,Yes,Low,,Positive,High,45,No,6,Unhealthy,High,4,Yes,No,Kinesthetic,Yes,Yes,Low,A
21,F,A,78,12,,Public,High,High,No,Medium,Medium,Negative,Low,,,8,Healthy,Medium,6,No,,Auditory,No,No,,A
20,M,,97,14,,Private,Medium,Medium,No,High,Medium,Negative,Low,93,No,8,Healthy,Medium,6,Yes,No,Visual,,No,Low,C
21,M,C,88,9,Science,Public,Medium,Low,No,Medium,High,Negative,Low,,Yes,4,Balanced,Low,4,Yes,Yes,Auditory,Yes,No,High,C
18,F,B,70,14,Science,Public,High,High,No,,Low,Negative,Low,72,Yes,9,Balanced,High,7,Yes,No,,Yes,Yes,Medium,A
20,M,,82,20,Business,Public,High,Low,Yes,Low,Low,Positive,Medium,36,No,9,Balanced,Low,3,Yes,Yes,Visual,No,No,High,A
20,F,C,100,12,Science,Private,Medium,Medium,Yes,Low,High,Positive,High,,No,5,Healthy,High,9,No,No,Auditory,Yes,No,Medium,C
20,M,,97,18,Medicine,Private,Medium,Medium,No,Low,Low,Negative,Medium,62,,8,Healthy,High,6,No,No,Auditory,Yes,No,,C
20,M,C,78,19,Science,Private,High,Low,,Low,Medium,Neutral,Medium,94,No,5,Healthy,Low,3,Yes,No,,No,No,Low,B
19,M,C,80,,,,Low,High,Yes,High,High,Neutral,High,65,No,5,Balanced,Medium,3,No,Yes,,No,Yes,Low,B
18,M,B,96,14,Law,,High,Medium,Yes,Medium,High,Positive,High,60,No,9,Unhealthy,,,No,No,Kinesthetic,No,No,Low,A
19,M,,79,12,Law,Public,Medium,Low,Yes,Medium,Low,,High,99,Yes,4,Unhealthy,Medium,7,No,No,Visual,Yes,No,High,C
21,F,C,74,6,Business,Private,Medium,Low,Yes,High,Low,Negative,Medium,50,No,8,Healthy,,5,No,No,Auditory,Yes,No,,B
21,F,A,88,11,Engineering,Public,High,,Yes,High,,Negative,,64,Yes,9,Balanced,Low,5,Yes,Yes,Visual,No,No,,A
21,F,B,84,17,Medicine,Public,Low,High,No,High,Medium,Neutral,Low,84,No,4,Balanced,Medium,7,No,No,Kinesthetic,No,No,Medium,B
,F,C,83,15,Science,Private,Medium,Medium,No,High,Medium,Neutral,High,34,No,,Healthy,High,4,No,No,Kinesthetic,Yes,Yes,High,A
21,F,A,96,11,Medicine,,Low,High,Yes,High,Low,Negative,,84,No,7,Healthy,High,9,Yes,Yes,Kinesthetic,No,Yes,Medium,A
20,M,C,80,14,Arts,Private,High,High,Yes,Low,Medium,Negative,Low,96,Yes,6,Healthy,Medium,5,No,No,Visual,Yes,,Low,B
20,M,B,89,11,Law,Public,Low,High,Yes,Medium,Medium,Positive,,37,Yes,9,Unhealthy,Low,8,Yes,No,,Yes,No,High,B
18,F,B,89,15,Business,Private,Low,Medium,No,Medium,Low,Positive,Medium,87,No,8,Healthy,Low,8,,Yes,Visual,No,Yes,High,C
22,,C,97,9,Arts,Private,Low,Medium,Yes,,High,Negative,High,39,No,9,Balanced,Medium,6,No,Yes,,No,Yes,Low,B
20,M,B,98,9,Arts,Public,High,Medium,Yes,Medium,Low,Neutral,Medium,64,Yes,4,Unhealthy,High,2,Yes,Yes,Kinesthetic,No,Yes,High,B
19,F,,72,11,Medicine,,Low,Medium,No,Medium,Medium,,Medium,39,Yes,7,Healthy,Low,7,Yes,No,Auditory,Yes,No,Low,C
22,F,A,92,19,Arts,Private,Medium,Low,No,Low,High,Neutral,Medium,35,No,5,Healthy,Low,8,Yes,,,Yes,No,Medium,A
18,M,A,,8,Business,,Medium,Low,No,,Medium,Neutral,Medium,23,No,9,Unhealthy,High,3,No,Yes,Visual,No,Yes,Medium,C
21,M,B,,12,Engineering,,High,High,Yes,Medium,High,Neutral,High,,No,8,Healthy,Low,3,Yes,No,Visual,,Yes,Low,C
19,M,B,94,16,Law,Public,Medium,,Yes,Low,Medium,Neutral,Low,69,Yes,5,Unhealthy,High,3,Yes,No,Visual,Yes,Yes,Medium,A
18,M,B,95,9,Science,Private,,High,Yes,Low,High,,Low,29,Yes,5,Unhealthy,High,8,Yes,Yes,Kinesthetic,No,Yes,Medium,A
22,F,B,94,13,Business,Private,High,Low,No,,Low,Neutral,High,47,Yes,,Healthy,Medium,9,No,Yes,Auditory,No,No,Low,C
20,F,A,82,6,Law,Private,High,Low,Yes,High,High,Neutral,,97,Yes,5,Unhealthy,Low,8,No,No,Kinesthetic,Yes,No,Medium,C
19,M,A,91,5,Engineering,Public,Medium,Low,No,Low,Low,Negative,Medium,,Yes,4,Balanced,Low,4,Yes,Yes,Visual,No,No,Medium,C
20,M,C,78,10,Engineering,Public,High,Medium,Yes,High,Low,Neutral,Low,88,No,4,Unhealthy,High,2,Yes,No,Auditory,Yes,No,High,A
19,M,A,78,17,Science,Public,Low,High,Yes,High,Low,Positive,Low,75,Yes,7,Unhealthy,Low,5,No,Yes,Auditory,No,Yes,Medium,C
20,M,C,98,,Science,Private,Medium,High,Yes,High,High,Neutral,Medium,40,No,8,Healthy,Low,4,Yes,Yes,Visual,Yes,No,Low,C
19,M,B,98,,Business,Private,Medium,Low,Yes,High,,Positive,Low,52,No,6,,Low,10,Yes,No,Visual,No,No,Low,C
,M,,92,12,Engineering,Public,High,Low,No,High,Low,Neutral,Low,78,,8,Healthy,High,2,Yes,Yes,Visual,No,Yes,Low,
22,M,B,89,,Business,Private,Low,Low,No,High,Medium,Neutral,High,65,No,9,Unhealthy,High,7,No,Yes,Visual,No,,High,C
18,M,C,70,8,Law,Public,High,Low,No,Low,Medium,Neutral,Low,38,No,8,Unhealthy,Medium,10,Yes,No,Kinesthetic,Yes,Yes,High,A
19,F,B,91,16,Medicine,Public,Medium,Medium,Yes,,Medium,Positive,Low,76,Yes,7,Unhealthy,Medium,6,Yes,Yes,Kinesthetic,No,Yes,High,B
21,M,C,83,10,Science,Private,High,High,No,High,High,Negative,High,91,No,,Unhealthy,Low,,,Yes,Kinesthetic,No,Yes,Medium,B
19,F,,100,12,Arts,Private,High,Medium,Yes,Low,High,Negative,Low,32,No,8,Balanced,Medium,10,No,Yes,Visual,,No,,B
22,F,C,98,20,Business,Public,Low,High,No,Low,Medium,Neutral,High,93,Yes,4,Healthy,Low,,Yes,Yes,Auditory,,No,High,A
21,M,A,,18,Arts,Public,Medium,Medium,No,Medium,Medium,Positive,Low,51,No,8,Healthy,Medium,5,Yes,,Visual,Yes,No,,B
21,M,C,82,13,Law,Public,Medium,Medium,Yes,Medium,Low,Negative,High,66,Yes,,Unhealthy,Low,4,No,Yes,Visual,No,Yes,High,
19,M,A,94,6,Arts,Public,Medium,High,Yes,Medium,High,Positive,High,21,No,4,Unhealthy,Medium,5,,Yes,Kinesthetic,Yes,,Medium,B
18,M,C,76,8,Law,Public,Low,High,No,High,Medium,,,26,,6,Unhealthy,,8,No,Yes,Visual,Yes,No,Medium,A
,F,A,73,12,Medicine,Public,Low,High,No,Medium,Low,,Medium,68,Yes,,Balanced,Medium,,Yes,,Visual,No,No,Low,
,F,,98,5,Law,Private,Low,Low,No,High,Medium,Negative,Medium,80,Yes,8,Unhealthy,Medium,4,No,Yes,Visual,No,No,Low,B
22,F,,85,5,Arts,,Medium,Medium,Yes,High,Medium,Positive,High,58,No,5,Balanced,High,10,,Yes,Visual,No,Yes,Low,C
21,M,B,79,20,Medicine,Private,High,High,No,High,,Neutral,Medium,84,Yes,9,Healthy,Medium,2,Yes,,Auditory,No,Yes,Low,C
19,F,A,84,,,Private,High,High,Yes,Medium,High,Negative,Low,26,Yes,8,Healthy,Low,10,No,No,Kinesthetic,No,No,Low,C
19,F,C,,8,Arts,,Low,High,Yes,High,Medium,Neutral,Low,65,No,8,Healthy,High,6,No,Yes,Visual,No,No,Low,A
19,F,C,71,12,Law,Public,Medium,Medium,Yes,Medium,High,Positive,High,,No,5,Healthy,Medium,4,No,Yes,Visual,Yes,Yes,Medium,A
18,M,B,79,15,Business,Public,Medium,High,No,High,Medium,,Medium,74,No,8,Unhealthy,Low,9,Yes,No,Visual,No,Yes,Low,B
20,F,C,,14,Engineering,Public,High,Medium,No,,High,Positive,Low,,No,5,Unhealthy,High,5,No,Yes,Auditory,Yes,No,Low,B
18,M,C,76,13,Business,Private,,,Yes,High,High,Positive,Medium,45,Yes,8,Healthy,Low,10,,Yes,Kinesthetic,No,No,Medium,
19,F,B,,17,,Public,Medium,High,No,Medium,Low,Neutral,High,64,No,,Healthy,Medium,,Yes,Yes,Kinesthetic,Yes,No,Low,C
21,F,A,81,,Business,Public,Low,Low,Yes,Medium,Low,Positive,Medium,37,No,5,Unhealthy,Low,2,Yes,Yes,Kinesthetic,,No,High,B
20,F,A,77,15,Law,,Medium,Medium,Yes,,Low,Negative,Low,29,No,9,,High,5,No,Yes,Visual,Yes,Yes,Medium,A
21,F,C,92,18,,Public,Low,Low,No,Medium,High,Negative,Low,55,Yes,4,Unhealthy,,4,Yes,No,Kinesthetic,Yes,,Low,A
21,M,,97,17,Science,Public,Medium,Medium,No,Low,Low,Positive,High,73,,5,Unhealthy,Low,9,No,,Auditory,No,No,Medium,C
22,F,A,99,6,Arts,Private,Medium,High,No,,High,Positive,High,69,No,9,Balanced,High,8,No,Yes,Visual,No,No,Medium,
20,F,B,,11,Engineering,Private,Low,High,No,High,Medium,Neutral,High,29,Yes,9,Healthy,Medium,9,Yes,,Kinesthetic,No,Yes,Low,A
19,F,C,,,Arts,Private,High,Medium,No,Medium,Low,Positive,Medium,48,No,4,Balanced,High,5,No,No,Visual,,No,High,B
,F,B,85,13,Arts,Private,High,Low,Yes,Medium,Medium,Positive,Medium,46,Yes,8,Balanced,High,4,No,Yes,Auditory,Yes,No,Low,A
19,M,B,75,19,Arts,Private,High,Low,No,Low,Low,Negative,Medium,81,Yes,7,Healthy,,5,Yes,No,Auditory,No,No,Low,
19,M,A,,14,Law,,,,No,High,Medium,,Medium,82,No,,Healthy,Medium,8,No,No,Auditory,No,Yes,,
22,M,B,80,,Business,Private,Medium,,Yes,Low,,Neutral,Medium,94,No,8,Balanced,Medium,,No,Yes,Visual,No,Yes,Low,B
20,F,A,72,14,Arts,Private,Low,High,No,High,High,Positive,High,75,Yes,4,Healthy,Medium,5,Yes,,Visual,No,Yes,Low,A
,M,C,95,20,Business,Private,Low,Low,Yes,High,High,Negative,Medium,73,No,8,Balanced,Low,9,Yes,Yes,Visual,No,No,Low,A
19,M,B,70,15,,Private,Low,High,Yes,,High,Neutral,High,,Yes,9,Balanced,Medium,9,Yes,No,Kinesthetic,Yes,Yes,High,C
,F,,81,8,,Private,Low,Medium,Yes,Low,Low,Positive,Medium,100,No,4,Balanced,High,8,Yes,Yes,Visual,No,,Medium,A
22,M,C,95,8,Business,Public,,Medium,No,Medium,High,,High,28,,8,Unhealthy,Low,3,,Yes,Kinesthetic,No,No,Medium,B
18,M,B,99,,Business,,High,High,Yes,High,High,Neutral,High,82,Yes,4,Unhealthy,Medium,9,No,No,Kinesthetic,No,No,High,B
20,M,C,87,13,Law,Public,High,Medium,,,Low,Neutral,Medium,93,No,5,Balanced,Low,7,Yes,No,Auditory,No,No,Medium,C
20,F,,86,,,Public,Low,Medium,Yes,High,High,Positive,Medium,,,8,Unhealthy,Low,2,No,No,Visual,Yes,Yes,High,C
20,F,B,97,18,Engineering,Public,Medium,High,Yes,Low,Low,Positive,Low,,No,5,Balanced,Low,5,No,Yes,Auditory,Yes,Yes,Medium,B
22,M,A,80,6,Business,Public,Medium,Medium,Yes,High,Medium,Neutral,Medium,65,Yes,5,Healthy,Low,9,No,No,Kinesthetic,Yes,No,High,C
20,,C,83,16,Business,Public,High,Low,No,Medium,,Positive,High,40,Yes,9,Balanced,Low,,Yes,No,Kinesthetic,Yes,No,Low,A
